source,trans1,trans2
"这个擦丝器太好用了，护手设计，不浪费食材！
轻松切各种粗丝、细丝、薄片、厚片
再也不用担心伤到手了！


绝大多数家庭还在用笨重的菜刀，不仅切的慢还容易伤到手！我也是去了一趟朋友家才知道还有这种切菜神器！炒菜做饭原来这么简单！菜刀能切的它都能切，菜刀切不了的它也能切！切片切丝切块统统都行！切出来的蔬菜大小完整、厚薄均匀！就连干了30年的厨师也赞不绝口！","이 가위는 너무 좋아요. 손 보호 디자인으로 식재료를 낭비하지 않아요!
각종 굵은 실, 가는 실, 얇은 조각, 두꺼운 조각을 쉽게 자르실 수 있어요.
더 이상 손이 상하던 걱정을 안 해요!

대부분의 가정은 무거운 칼을 사용하고 있어요. 칼이 느리지만 손이 상하기 쉽기도 해요. 친구 집에 가서 이런 칼이 있다는 것을 알게 되었어요. 볶다 요리하는 것이 이렇게 쉽다니! 칼이 자를 수 있는 것은 다 자를 수 있고, 칼이 자를 수 없는 것은도 자를 수 있어요! 조각, 실, 조각을 다 자를 수 있어요! 자른 채소는 크기, 두께가 균일해요! 30년 동안 건조한 요리사도 칭찬을 멈추지 않아요!","['이 스크러버는 너무 쓰기 좋습니다, 손 보호대 디자인으로 식자재를 낭비하지 않습니다!\n각종 굵은 실, 가는 실, 얇은 조각, 두꺼운 조각을 쉽게 자릅니다\n더 이상 손을 다칠 염려가 없습니다!\n\n\n대다수의 가정은 여전히 육중한 식칼을 사용하고 있습니다. 천천히 자를 뿐만 아니라 손도 다치기 쉽습니다!저도 친구 집에 다녀와서 이런 야채 썰기가 있다는 걸 알았어요!요리하고 요리하는 것이 이렇게 간단했군요!칼은 썰 수 있는 것도 썰 수 있고 칼은 썰 수 없는 것도 썰 수 있습니다!채썰기 채썰기 다 좋아요!썰어낸 야채는 크기가 온전하고 두께가 균일합니다!30년차 요리사조차 극찬!']"
别人半小时切不完的菜，用它两分钟就能搞定！关键是它一体成型，完全不会伤手！一小会就能切好一大桌菜，非常轻松，想切什么切什么，想怎么切就怎么切！而且清洗的时候也很方便，直接用水一冲就行了！有了它，切菜做饭不仅非常快，而且还好看又美味！老公天天夸我比饭店做的还要好吃！如果你也经常做饭就别犹豫了！划走可就找不到这么好用的切菜器了！,"다른 사람은 반 시간 동안 채소를 자르지 못하지만, 이걸로 2분만에 끝낼 수 있다! 핵심은 일체형으로 손이 상하지 않다! 잠시만 지나도 큰 식탁의 채소를 잘라낼 수 있으며 매우 쉽고, 자를 수 있는 것이 마음대로, 자를 수 있는 것이 마음대로! 그리고 세척할 때도 매우 편리하여 물로 씻어도 돼! 이걸로 채소와 음식을 잘라내는 것은 매우 빠르지만, 매우 예쁘고 맛있기도 하다! 남편은 매일 음식점보다 맛있게 만들어줘서 칭찬해! 당신도 자주 음식을 만들어야 한다면 망설이지 마세요! 이렇게 좋은 채소 자르는 도구를 찾을 수 없다면!",['남들은 30분 동안 썰 수 없는 음식을 2분 만에 뚝딱 해치웁니다!핵심은 손을 전혀 다치지 않고 일체형으로 성형하는 것입니다!조금만 있으면 큰 상차림도 뚝딱뚝딱 썰고 싶은 대로 썰면 뚝딱!그리고 씻을 때도 편하고 그냥 물로 헹구면 됩니다!그것이 있으면 야채를 자르고 요리하는 것이 매우 빠를 뿐만 아니라 보기 좋고 맛있습니다!남편은 매일 식당에서 만든 것보다 더 맛있다고 칭찬합니다!만약 당신도 자주 요리를 한다면 망설이지 마세요!긁어 버리면 이렇게 편리한 야채 절단기를 찾을 수 없습니다!']
"嘻哈朋克开口弹力手镯
让您从此告别高血糖，开启健康生活！
男女都能佩戴，时尚易搭配，持续释放负离子！
能有效通畅血管，平衡人体正负离子，降低血糖，为您的健康护航。
消除疲劳，防辐射，健康减脂，轻松塑造完美身材。
经常佩戴，增强体质，呵护健康","힙합 펑크 스트레치 팔찌
고혈당을 이별하고 건강한 생활을 시작하세요!
남녀 모두 착용 가능, 스타일리쉬하고 코디하기 쉬움, 음이온 지속적으로 방출!
혈관을 원활하게 하여, 인체의 양극자와 음이온을 균형있게 하여, 혈당을 낮추어 건강을 지킵니다.
피로를 없애고 방사선을 차단하고 건강한 체중 감량, 완벽한 몸매를 쉽게 만듭니다.
 经常佩戴，增强体质，呵护健康
자주 착용하면 체질을 강화하고 건강을 보호합니다.","['힙합 펑크 오픈 스판 팔찌\n이제부터 고혈당과 작별하고 건강한 삶을 살겠습니다!\n남녀 모두 착용할 수 있어 스타일리쉬하게 매치할 수 있으며 음이온을 지속적으로 방출!\n혈관을 효과적으로 차단하고 인체의 양이온과 음이온의 균형을 유지하며 혈당을 낮추고 건강을 보호할 수 있습니다.\n피로회복, 방사선 차단, 건강한 지방감소로 손쉽게 몸매를 가꾸어 줍니다.\n자주 착용하여 체력 증진 및 건강 관리']"
"红蛋白弹润贵妇面霜
1秒让粗大毛孔变得细腻光滑！
改善暗沉粗糙，底妆更服帖
肌肤看起来清透白皙，就像天生的好皮肤！

如果出门不想化妆，但又想拥有好皮肤，可以试试这款龙血膏！
它的神奇之处在于，只需1秒，粗大毛孔就会变得细腻光滑，细纹、瑕疵都看不到了！肌肤清透白皙，仿佛拥有了天生的好皮肤。
你的底妆更会服帖，持久绽放，48小时不晕染不脱落。
享受顶级护肤体验，尽在这款贵妇面霜！","레드 프로테인 촉촉한 고급妇人 크림
1초에 거친 모공을 부드럽고 매끄럽게!
다크하고 거친 피부 개선, 바탕 메이크업이 더욱 밀착
피부가 투명하고 하얗게 보이면, 선천적으로 좋은 피부처럼!

외출할 때 화장을 하고 싶지 않지만 좋은 피부를 원한다면, 이 드래곤 블러드 크림을 시도해보세요!
기적적인 것은 1초만에 거친 모공이 부드럽고 매끄러워지며, 주름과 결점이 보이지 않습니다! 피부가 투명하고 하얗게 보이면, 선천적으로 좋은 피부를 가지고 있는 것 같습니다.
바탕 메이크업이 더욱 밀착되어, 48시간 동안 퇴색이나 탈락이 없습니다.
최고의 피부 관리를 즐기세요, 이 고급妇人 크림!","['헤모글로빈 탄력 귀부 크림\n넓어진 모공을 1초 만에 촘촘하고 매끈하게!\n칙칙하고 거칠어짐 개선, 밀착력 높은 베이스 메이크업\n피부가 맑고 하얗게 보여서 타고난 듯 좋은 피부!\n\n밖에 나가 화장하기 싫으면서도 좋은 피부를 원한다면 이 용혈고를 사용해 보세요!\n그것의 신기한 점은 1초만에 넓은 모공이 미세하고 매끈해져서 잔주름, 잡티가 보이지 않는다는 것입니다!피부가 맑고 깨끗하여 타고난 듯합니다.\n당신의 베이스 화장이 더 잘 밀착되고, 오래 지속되며, 48시간 동안 번지거나 벗겨지지 않습니다.\n최상의 스킨케어를 즐기세요, 이 귀부인의 크림에만!']"
"德国精钢研磨机
厨房料理好帮手
家用小型研磨机，各种五谷杂粮都可以磨成粉！
打粉、绞肉、磨豆浆、药材，通通一键搞定！

别再买榨汁机、豆浆机、打粉机这些浪费钱的东西了！这个研磨机一个顶五个，榨汁、打粉等等通通都能搞定，家家都应该备一个！四刃高硬度不锈钢刀片，锋利坚韧！操作特别简单，只需要几十秒就可以把五谷杂粮磨成细腻的粉末！用它磨豆浆又快又细腻，豆渣细腻的就像豆粉冲泡出来的一样，毫无颗粒感，无需过滤就可以直接喝！","독일 정강도研磨기
주방 요리 도우미
가정용 소형研磨기, 다양한 곡물과 잡곡을 가루로 만들 수 있다!
가루 만들기, 고기 뽑기, 콩국 만들기, 약재, 전부 원터치로 해결!

더 이상 제육기, 콩국기, 가루기 같은 돈 낭비하는 것을 사지 마세요! 이研磨기는 5개에 해당하는, 제육기, 가루기 등 전부 원터치로 해결할 수 있어, 모든 가정에 하나씩 준비해야 합니다! 4칼날 고경도 스테인리스 칼날, 날카롭고 질기다! 조작이 매우 간단하여, 몇 십초 만에 곡물과 잡곡을 가루로 만들 수 있다! 이를 사용하여 콩국을 만들면 빠르고 부드럽고, 콩 찌꺼기도 부드러워서 콩가루를 우려내는 것처럼 입자가 없으며, 여과 없이 바로 마실 수 있다!","['독일정강연마기\n주방 요리 도우미\n가정용 소형 그라인더로 각종 오곡 잡곡을 가루로 빻을 수 있습니다!\n가루내기, 고기 갈기, 두유 갈기, 약재까지 원터치로!\n\n믹서기, 두유기, 분말기 등 돈 낭비하는 물건은 그만 사세요!이 그라인더는 한 개에 다섯 개에 달합니다, 착즙, 분말 등을 모두 처리할 수 있습니다, 집집마다 하나씩 준비해야 합니다!4날 고경도 스테인리스 스틸 블레이드, 날카롭고 강인함!조작은 매우 간단하며 통곡물을 몇십 초 만에 미세한 가루로 만들 수 있습니다!콩을 갈아서 빠르고 곱게 만든 콩비지는 콩가루를 우려낸 것처럼 입감 없이 여과 없이 바로 마실 수 있습니다!']"
它是304不锈钢材质的，食品级材质，使用更安心！也可以用它给宝宝做辅食，一次一份，新鲜健康！也不用怕做多了，浪费吃不完！还可以用它来磨咖啡、辣椒或是各种调味作料！小小的一个，放在哪里都不占地方！喜欢就赶紧点击下方链接购买，十分钟内下单可享受优先发货！划走就再也找不到了！,"304 스테인리스 스틸 소재로 식품급 소재로 사용이 더욱 안심! 아기에게 보조음식을 만들어주어도 좋고, 한 번에 한 번씩, 신선하고 건강! 너무 많이 만들어도 걱정할 필요가 없고, 먹을 수 없을 정도로 낭비할 필요가 없어요! 커피, 고추, 각종 조미료를 갈 수 있어요! 작은 사이즈로 어디에나 놓아도 공간을 차지하지 않아요! 좋아하면 아래 링크를 클릭하여 구매하세요. 10분 이내에 주문하시면 우선 발송 가능! 사라지면 더 이상 찾을 수 없어요!","['304 스테인리스 스틸 소재로 식품 등급 소재로 더욱 안심하고 사용하실 수 있습니다!그것은 또한 아기에게 이유식으로 사용될 수 있습니다, 한 번에 하나씩, 신선하고 건강합니다!너무 많이 해서 다 먹지 못할까 봐 겁낼 필요도 없습니다!커피, 고추 또는 다양한 조미료를 갈아서 사용할 수도 있습니다!작은 것은 어디에 놓아도 자리를 차지하지 않습니다!마음에 드시면 바로 아래 링크를 클릭하셔서 구매하시면 10분 안에 주문하시면 우선 배송을 받으실 수 있습니다!노를 저어 가면 다시는 찾을 수 없습니다!']"
"负离子卷发直发两用梳，轻松一梳，柔顺丝滑
负离子直发梳，卷直两用，3秒快速打造柔顺发型
双层设计防烫不伤发，适合不同发质

不会还有人不知道这款被发型师吹捧的直发梳吧？无论是拉直还是卷发内扣，用这一把梳子都可以搞定！它内含负离子成分，可以有效保护我们的头发不受损！每次去理发店做完头发后，头发不是干枯就是打结！这把直发梳具备权威机构认证，真正的不伤发！五档调节功能，不烫头皮不烫手！想做直发的，只需轻轻一梳，30秒就能搞定！想做卷发内扣的，把头发绕两圈，做出来的卷发特别自然有型，还不毛躁！就像女明星一样漂亮！自己在家就能轻松操作，省下去理发店做头发的钱！","음이온 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤어칼, 헤","['음이온 매직 스트레이트 투웨이 브러쉬로 가볍게 빗어주어 매끈하게 마무리\n음이온 스트레이트 빗, 컬링 투웨이, 3초간 빠른 부드러운 헤어스타일 완성\n이중 디자인으로 모발 손상 없이 다양한 모발에 적합\n\n설마 헤어디자이너가 추켜세우는 생머리 빗을 모르는 사람은 없겠죠?스트레이트 업이든 컬 업이든 이 빗으로 마무리!음이온 성분이 함유되어 모발 손상으로부터 보호해 줍니다!이발소에 가서 머리를 하고 나면 머리카락이 마르지 않거나 엉켜 있습니다!이 스트레이트 빗은 권위 있는 기관의 인증을 받아 머리카락이 손상되지 않습니다!5단 조절 기능으로 두피나 손을 데지 않습니다!스트레이트 원하시면 가볍게 빗질만 하면 30초 만에 끝납니다!컬 속단추를 하고 싶은 사람은 머리를 두 번 감으면 컬이 자연스럽고 텁텁하지 않습니다!여자 스타처럼 예뻐요!집에서 혼자 쉽게 할 수 있으니 미용실 머리값 아낄 수 있어요!']"
谁能想到有一天，一个小小的车载暖风机，竟然能有这么实用的功能！这个就是专为解决冬天车玻璃起雾的车载暖风机！早上太冷，车玻璃容易起雾，不要再用手去擦了，不仅影响开车安全，还容易看不清！就用这个车载暖风机，不管是高配车还是低配车，只要插在点烟口上就能用！自带吸盘，把它放在仪表台上，只要30秒，前挡风玻璃就变的干干净净了！玻璃清晰透亮！底座可以360度旋转！它的暖风功能还能让车里迅速升温，就算不开空调，车内也很暖和！比开空调更省油！它小巧方便携带，随时随地带着它，放在仪表台上就能用！有热风冷风两种模式，方便又省心！,"누가 생각할 수 있겠습니까? 작은 차량 난방기,竟然 이렇게 실용적인 기능이 있어요! 이것은 겨울에 차 유리창이 안개가 끼는 것을 해결하기 위해 만든 차량 난방기입니다! 아침에 너무 추워서 차 유리창이 쉽게 안개가 끼면 더 이상 손을 사용하지 마세요. 그것은 운전 안전에 영향을 미치고, 보는 것이 어렵기 쉽습니다! 이 차량 난방기를 사용하면, 고급 차량이나 저급 차량이든, 흡연구에 꽂으면 사용할 수 있습니다! 흡盤이 달려 있어, 30초 만에 앞 유리창이 깨끗해집니다! 유리는 맑고 투명합니다! 바닥은 360도 회전할 수 있습니다! 그 난방 기능은 차내를 빠르게 따뜻하게 해주어, 에어컨을 켜지 않아도 차내가 따뜻합니다! 에어컨을 켜는 것보다 연료 절약이 더 좋습니다! 작고 휴대하기 편하며, 언제 어디서나 휴대할 수 있으며, 계기판에 놓으면 사용할 수 있습니다! 열풍과 냉풍의 두 가지 모드를 갖고 있어 편리하고 안심할 수 있습니다!",['어느 날 작은 차량용 온풍기가 이렇게 실용적인 기능을 할 수 있으리라고 누가 생각이나 했겠습니까!이것은 바로 겨울철 자동차 유리에 김이 서리는 것을 해결하기 위한 차량용 온풍기입니다!아침에 너무 추우면 차 유리에 김이 서리기 쉬우니 더 이상 손으로 닦지 마세요. 운전 안전에 영향을 줄 뿐만 아니라 잘 보이지 않습니다!이 차량용 온풍기로 고배차든 저배차든 담배꽁초만 꽂으면 바로 사용할 수 있습니다!빨판이 달려있어 계기판에 올려놓으면 30초면 앞유리가 깨끗해집니다!유리가 맑고 투명합니다!베이스는 360도 회전이 가능합니다!온풍 기능은 차 안까지 빠르게 가열시켜 에어컨을 켜지 않아도 차 안이 따뜻합니다!에어컨을 켜는 것보다 기름이 더 절약됩니다!작고 휴대가 간편해서 언제 어디서나 들고 다니시다가 카운터 위에 올려놓으시면 바로 사용하실 수 있습니다!온풍 냉풍 두 가지 모드가 있어 편리하고 걱정도 덜어요!']
"车载暖风机
既能除雾又能吹暖风
有了这个暖风机除雾器，冷天再也不怕车玻璃起雾了
不仅可以快速除雾，还能吹暖风，让车内暖和起来","차량용 난방기
안개 제거도 가능하고 따뜻한 바람도 불어줄 수 있다.
이 안개 제거기 있으면 추운 날씨에 차 유리 안개 걱정 없이","['차량용 온풍기\n안개도 걷어내고 따뜻한 바람도 쐬고 그래요.\n이 온풍기 김서림 제거기가 있으니, 추운 날은 더 이상 차 유리에 김이 서리는 것을 두려워하지 않게 되었습니다.\n김서림도 빨리 걷어내고 따뜻한 바람도 쐬어 차 안을 따뜻하게 해줍니다.']"
"冬季必备暖菜保温板
恒温速热、持久保温、安全防烫
天凉了，家里有个这样的暖菜板太实用了！
保温加热饭菜，再也不用担心饭菜凉了！","겨울 필수 보온판
항온속열, 장시간 보온, 안전한 데일링
추운 날이면 이런 보온판이 있으면 너무 편해요!
식사를 보온해서 더 이상 식사가 차게 되지 않아요!","['겨울 필수 난방 보온판\n항온속열, 보온지속, 화기안전방지\n날씨가 추워졌는데, 집에 이런 따뜻한 도마가 있어서 너무 실용적입니다!\n보온으로 음식을 데우면 더 이상 찬 걱정을 하지 않아도 됩니다!']"
